=== AES-GCM Scaling Benchmark ===
Size (B), AES128_avg_µs, AES256_avg_µs, Δrel(%)
     128,       3.80,       4.76,  25.44
     512,      12.24,      15.75,  28.66
    1024,      23.61,      30.52,  29.31
    4096,      91.05,     120.97,  32.86
   16384,     360.96,     470.64,  30.39
   65536,    1442.99,    1878.08,  30.15

=== AES-CCM Scaling Benchmark ===
Size (B), AES128_avg_µs, AES256_avg_µs, Δrel(%)
     128,       5.71,       7.87,  37.93
     512,      18.57,      25.77,  38.75
    1024,      35.49,      49.40,  39.17
    4096,     137.15,     191.40,  39.56
   16384,     543.62,     768.34,  41.34
   65536,    2171.99,    3038.15,  39.88

=== AES-OCB Scaling Benchmark ===
Size (B), AES128_avg_µs, AES256_avg_µs, Δrel(%)
     128,       4.39,       5.60,  27.74
     512,      10.63,      14.46,  36.02
    1024,      18.96,      26.24,  38.42
    4096,      69.56,      97.27,  39.84
   16384,     271.45,     380.24,  40.08
   65536,    1099.61,    1533.54,  39.46

=== AES-PSS Scaling Benchmark ===
Size (B), AES128_avg_µs, AES256_avg_µs, Δrel(%)
     128,       4.28,       5.51,  28.57
     512,      10.43,      11.71,  12.25
    1024,      18.68,      19.98,   6.99
    4096,      67.95,      68.91,   1.41
   16384,     264.41,     264.74,   0.12
   65536,    1051.91,    1052.07,   0.01
